Results ssCCA, lambdas: 0.03 0.2 1.9 5. Variable correlation: 0.321859040762642 0.725471597954341 0.326343677465753 0.525907637710047
Type2_3	0.723648812463952
Type2_2	0.587992495588469
Type2_4	0.26781366632555
Treat_2	0.1531144567733
Type2_1	0.140796790626482
random.1	0.0565306122156544
random	0.053763818355539
random.3	0.0494907332730972
Treat_1	0.0484886558208573
Type1_3	0.0470590909765301
Rep_2	0.0391559456287962
random.2	0.0229580595541845
Type1_1	0.020879619023238
Type1_2	0.00278756904553021


Treat_2	0.712829519121702
random.1	0.570610117056246
Type2_3	0.291527301718465
Type2_1	0.192905719880553
random	0.153462325543171
Treat_5	0.106040986636361
random.3	0.0963431905427966


Type1	1
